report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,probable_deaths,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_probable_deaths,moving_avg_total_cases
2021-01-01,8642,16,566370,9792,5423.42857142857,33.4285714285714,6,984,10884,657678,12.7142857142857,7302.71428571428
2021-01-02,6541,2,572911,9794,5837,26.2857142857142,1,985,7449,665127,12.8571428571428,7771.71428571428
2021-01-03,5016,2,577927,9796,6137.57142857142,25.8571428571428,2,987,5755,670882,13.1428571428571,8094.71428571428
2021-01-04,3996,7,581923,9803,6260.42857142857,26.1428571428571,0,987,5016,675898,13.1428571428571,8263
2021-01-05,5980,66,587903,9869,6283.71428571428,29.8571428571428,31,1018,9459,685357,11.5714285714285,8335.85714285714
2021-01-06,5419,66,593322,9935,6286.57142857143,32.4285714285714,21,1039,7293,692650,12.2857142857142,8170.42857142857
2021-01-07,7022,64,600344,9999,6088,31.8571428571428,2,1041,9377,702027,9,7890.42857142857
2021-01-08,10108,74,610452,10073,6297.42857142857,40.1428571428571,6,1047,12604,714631,9,8136.14285714285
2021-01-09,8841,96,619293,10169,6626,53.5714285714285,43,1090,11583,726214,15,8726.71428571428
2021-01-10,7083,2,626376,10171,6921.28571428571,53.5714285714285,0,1090,8113,734327,14.7142857142857,9063.57142857143
2021-01-11,6270,17,632646,10188,7246.14285714285,55,1,1091,7446,741773,14.8571428571428,9410.71428571428
2021-01-12,5900,140,638546,10328,7234.71428571428,65.5714285714285,42,1133,8701,750474,16.4285714285714,9302.42857142857
2021-01-13,5524,136,644070,10464,7249.71428571428,75.5714285714285,5,1138,8094,758568,14.1428571428571,9416.85714285714
2021-01-14,6234,138,650304,10602,7137.14285714285,86.1428571428571,30,1168,8594,767162,18.1428571428571,9305
2021-01-15,7230,156,657534,10758,6726,97.8571428571428,5,1173,9448,776610,18,8854.14285714285
2021-01-16,6790,152,664324,10910,6433,105.857142857142,6,1179,8289,784899,12.7142857142857,8383.57142857143
2021-01-17,5339,1,669663,10911,6183.85714285714,105.714285714285,2,1181,6318,791217,13,8127.14285714285
2021-01-18,4368,62,674031,10973,5912.14285714285,112.142857142857,2,1183,4991,796208,13.1428571428571,7776.42857142857
2021-01-19,4854,165,678885,11138,5762.71428571428,115.714285714285,49,1232,7178,803386,14.1428571428571,7558.85714285714
2021-01-20,5586,148,684471,11286,5771.57142857142,117.428571428571,47,1279,7794,811180,20.1428571428571,7516
2021-01-21,5758,102,690229,11388,5703.57142857142,112.285714285714,10,1289,7797,818977,17.2857142857142,7402.14285714285
2021-01-22,6368,159,696597,11547,5580.42857142857,112.714285714285,10,1299,8154,827131,18,7217.28571428571
2021-01-23,6508,126,703105,11673,5540.14285714285,109,56,1355,8734,835865,25.1428571428571,7280.85714285714
2021-01-24,4154,3,707259,11676,5370.85714285714,109.285714285714,1,1356,4790,840655,25,7062.57142857143
2021-01-25,3518,114,710777,11790,5249.42857142857,116.714285714285,0,1356,3992,844647,24.7142857142857,6919.85714285714
2021-01-26,5589,78,716366,11868,5354.42857142857,104.285714285714,36,1392,7984,852631,22.8571428571428,7035
2021-01-27,4026,139,720392,12007,5131.57142857142,103,19,1411,6058,858689,18.8571428571428,6787
2021-01-28,5316,145,725708,12152,5068.42857142857,109.142857142857,37,1448,7151,865840,22.7142857142857,6694.71428571428
2021-01-29,4737,134,730445,12286,4835.42857142857,105.571428571428,27,1475,6334,872174,25.1428571428571,6434.71428571428
2021-01-30,4856,157,735301,12443,4599.42857142857,110,48,1523,6242,878416,24,6078.71428571428
2021-01-31,2988,2,738289,12445,4432.85714285714,109.857142857142,0,1523,3571,881987,23.8571428571428,5904.57142857142
2021-02-01,2565,44,740854,12489,4296.71428571428,99.8571428571428,1,1524,3057,885044,24,5771
2021-02-02,2902,157,743756,12646,3912.85714285714,111.142857142857,46,1570,4635,889679,25.4285714285714,5292.57142857142
2021-02-03,3693,134,747449,12780,3865.28571428571,110.428571428571,2,1572,4841,894520,23,5118.71428571428
2021-02-04,3925,138,751374,12918,3666.57142857142,109.428571428571,29,1601,5625,900145,21.8571428571428,4900.71428571428
2021-02-05,3543,97,754917,13015,3496,104.142857142857,4,1605,4784,904929,18.5714285714285,4679.28571428571
2021-02-06,3213,175,758130,13190,3261.28571428571,106.714285714285,53,1658,4388,909317,19.2857142857142,4414.42857142857
2021-02-07,3166,5,761296,13195,3286.71428571428,107.142857142857,0,1658,3651,912968,19.2857142857142,4425.85714285714
2021-02-08,2471,34,763767,13229,3273.28571428571,105.714285714285,3,1661,2751,915719,19.5714285714285,4382.14285714285
2021-02-09,2552,118,766319,13347,3223.28571428571,100.142857142857,49,1710,3637,919356,20,4239.57142857142
2021-02-10,2423,116,768742,13463,3041.85714285714,97.5714285714285,3,1713,3398,922754,20.1428571428571,4033.42857142857
2021-02-11,3293,75,772035,13538,2951.57142857142,88.5714285714285,21,1734,4171,926925,19,3825.71428571428
2021-02-12,2473,183,774508,13721,2798.71428571428,100.857142857142,9,1743,3766,930691,19.7142857142857,3680.28571428571
2021-02-13,2751,104,777259,13825,2732.71428571428,90.7142857142857,34,1777,3749,934440,17,3589
2021-02-14,1705,3,778964,13828,2524,90.4285714285714,14,1791,1976,936416,19,3349.71428571428
2021-02-15,1711,33,780675,13861,2415.42857142857,90.2857142857143,20,1811,2076,938492,21.4285714285714,3253.28571428571
2021-02-16,1823,176,782498,14037,2311.28571428571,98.5714285714285,57,1868,2824,941316,22.5714285714285,3137.14285714285
2021-02-17,2185,75,784683,14112,2277.28571428571,92.7142857142857,22,1890,3420,944736,25.2857142857142,3140.28571428571
2021-02-18,2217,109,786900,14221,2123.57142857142,97.5714285714285,25,1915,3384,948120,25.8571428571428,3027.85714285714
2021-02-19,2178,170,789078,14391,2081.42857142857,95.7142857142857,31,1946,3551,951671,29,2997.14285714285
2021-02-20,2356,97,791434,14488,2025,94.7142857142857,32,1978,3228,954899,28.7142857142857,2922.71428571428
2021-02-21,1473,7,792907,14495,1991.85714285714,95.2857142857143,0,1978,1807,956706,26.7142857142857,2898.57142857142
2021-02-22,1312,55,794219,14550,1934.85714285714,98.4285714285714,31,2009,1559,958265,28.2857142857142,2824.71428571428
2021-02-23,2275,75,796494,14625,1999.42857142857,84,38,2047,3752,962017,25.5714285714285,2957.28571428571
2021-02-24,2018,115,798512,14740,1975.57142857142,89.7142857142857,17,2064,3140,965157,24.8571428571428,2917.28571428571
2021-02-25,2168,104,800680,14844,1968.57142857142,89,28,2092,3305,968462,25.2857142857142,2906
2021-02-26,2191,19,802871,14863,1970.42857142857,67.4285714285714,3,2095,3345,971807,21.2857142857142,2876.57142857142
2021-02-27,2166,58,805037,14921,1943.28571428571,61.8571428571428,15,2110,3300,975107,18.8571428571428,2886.85714285714
2021-02-28,1535,2,806572,14923,1952.14285714285,61.1428571428571,0,2110,2309,977416,18.8571428571428,2958.57142857142
2021-03-01,1215,79,807787,15002,1938.28571428571,64.5714285714285,1,2111,2091,979507,14.5714285714285,3034.57142857142
2021-03-02,1749,64,809536,15066,1863.14285714285,63,42,2153,3029,982536,15.1428571428571,2931.28571428571
2021-03-03,1556,139,811092,15205,1797.14285714285,66.4285714285714,6,2159,2662,985198,13.5714285714285,2863
2021-03-04,1783,109,812875,15314,1742.14285714285,67.1428571428571,13,2172,2806,988004,11.4285714285714,2791.71428571428
2021-03-05,1357,68,814232,15382,1623,74.1428571428571,1,2173,2070,990074,11.1428571428571,2609.57142857142
2021-03-06,1414,70,815646,15452,1515.57142857142,75.8571428571428,20,2193,2342,992416,11.8571428571428,2472.71428571428
2021-03-07,938,2,816584,15454,1430.28571428571,75.8571428571428,0,2193,1643,994059,11.8571428571428,2377.57142857142
2021-03-08,732,43,817316,15497,1361.28571428571,70.7142857142857,0,2193,1376,995435,11.7142857142857,2275.42857142857
2021-03-09,1012,9,818328,15506,1256,62.8571428571428,23,2216,1664,997099,9,2080.42857142857
2021-03-10,1120,59,819448,15565,1193.71428571428,51.4285714285714,0,2216,1689,998788,8.14285714285714,1941.42857142857
2021-03-11,1218,86,820666,15651,1113,48.1428571428571,10,2226,1688,1000476,7.71428571428571,1781.71428571428
2021-03-12,1221,48,821887,15699,1093.57142857142,45.2857142857142,3,2229,1620,1002096,8,1717.42857142857
2021-03-13,1044,40,822931,15739,1040.71428571428,41,11,2240,1305,1003401,6.71428571428571,1569.28571428571
2021-03-14,783,0,823714,15739,1018.57142857142,40.7142857142857,0,2240,858,1004259,6.71428571428571,1457.14285714285
2021-03-15,858,46,824572,15785,1036.57142857142,41.1428571428571,0,2240,996,1005255,6.71428571428571,1402.85714285714
2021-03-16,1093,15,825665,15800,1048.14285714285,42,15,2255,1694,1006949,5.57142857142857,1407.14285714285
2021-03-17,1138,69,826803,15869,1050.71428571428,43.4285714285714,3,2258,1946,1008895,6,1443.85714285714
2021-03-18,1255,54,828058,15923,1056,38.8571428571428,6,2264,2139,1011034,5.42857142857142,1508.28571428571
2021-03-19,1269,40,829327,15963,1062.85714285714,37.7142857142857,2,2266,1623,1012657,5.28571428571428,1508.71428571428
2021-03-20,1191,50,830518,16013,1083.85714285714,39.1428571428571,15,2281,1692,1014349,5.85714285714285,1564
2021-03-21,887,0,831405,16013,1098.71428571428,39.1428571428571,0,2281,1444,1015793,5.85714285714285,1647.71428571428
2021-03-22,538,26,831943,16039,1053,36.2857142857142,0,2281,740,1016533,5.85714285714285,1611.14285714285
2021-03-23,1085,14,833028,16053,1051.85714285714,36.1428571428571,16,2297,1764,1018297,6,1621.14285714285
2021-03-24,888,75,833916,16128,1016.14285714285,37,2,2299,1256,1019553,5.85714285714285,1522.57142857142
2021-03-25,1195,80,835111,16208,1007.57142857142,40.7142857142857,11,2310,1887,1021440,6.57142857142857,1486.57142857142
2021-03-26,1083,81,836194,16289,981,46.5714285714285,16,2326,1635,1023075,8.57142857142857,1488.28571428571
2021-03-27,1055,67,837249,16356,961.571428571428,49,7,2333,1367,1024442,7.42857142857143,1441.85714285714
2021-03-28,744,0,837993,16356,941.142857142857,49,0,2333,860,1025302,7.42857142857143,1358.42857142857
2021-03-29,813,36,838806,16392,980.428571428571,50.4285714285714,0,2333,1165,1026467,7.42857142857143,1419.14285714285
2021-03-30,904,12,839710,16404,954.571428571428,50.1428571428571,12,2345,1293,1027760,6.85714285714285,1351.85714285714
2021-03-31,1141,73,840851,16477,990.714285714285,49.8571428571428,2,2347,1813,1029573,6.85714285714285,1431.42857142857
2021-04-01,923,58,841774,16535,951.857142857143,46.7142857142857,7,2354,1458,1031031,6.28571428571428,1370.14285714285
2021-04-02,1172,63,842946,16598,964.571428571428,44.1428571428571,1,2355,1598,1032629,4.14285714285714,1364.85714285714
2021-04-03,772,22,843718,16620,924.142857142857,37.7142857142857,13,2368,1111,1033740,5,1328.28571428571
2021-04-04,651,0,844369,16620,910.857142857143,37.7142857142857,1,2369,871,1034611,5.14285714285714,1329.85714285714
2021-04-05,542,0,844911,16620,872.142857142857,32.5714285714285,0,2369,682,1035293,5.14285714285714,1260.85714285714
2021-04-06,977,10,845888,16630,882.571428571428,32.2857142857142,12,2381,1443,1036736,5.14285714285714,1282.28571428571
2021-04-07,961,66,846849,16696,856.857142857143,31.2857142857142,0,2381,1446,1038182,4.85714285714285,1229.85714285714
2021-04-08,1121,56,847970,16752,885.142857142857,31,10,2391,1488,1039670,5.28571428571428,1234.14285714285
2021-04-09,1066,48,849036,16800,870,28.8571428571428,6,2397,1485,1041155,6,1218
2021-04-10,1035,51,850071,16851,907.571428571428,33,12,2409,1527,1042682,5.85714285714285,1277.42857142857
2021-04-11,729,0,850800,16851,918.714285714285,33,0,2409,1090,1043772,5.71428571428571,1308.71428571428
2021-04-12,578,35,851378,16886,923.857142857143,38,0,2409,903,1044675,5.71428571428571,1340.28571428571
2021-04-13,1111,15,852489,16901,943,38.7142857142857,10,2419,1813,1046488,5.42857142857142,1393.14285714285
2021-04-14,1105,40,853594,16941,963.571428571428,35,11,2430,1703,1048191,7,1429.85714285714
2021-04-15,981,60,854575,17001,943.571428571428,35.5714285714285,4,2434,1574,1049765,6.14285714285714,1442.14285714285
2021-04-16,1176,47,855751,17048,959.285714285714,35.4285714285714,7,2441,1645,1051410,6.28571428571428,1465
2021-04-17,1202,34,856953,17082,983.142857142857,33,5,2446,1678,1053088,5.28571428571428,1486.57142857142
2021-04-18,702,0,857655,17082,979.285714285714,33,1,2447,970,1054058,5.42857142857142,1469.42857142857
2021-04-19,718,26,858373,17108,999.285714285714,31.7142857142857,0,2447,894,1054952,5.42857142857142,1468.14285714285
2021-04-20,960,13,859333,17121,977.714285714285,31.4285714285714,5,2452,1324,1056276,4.71428571428571,1398.28571428571
2021-04-21,966,21,860299,17142,957.857142857143,28.7142857142857,7,2459,1347,1057623,4.14285714285714,1347.42857142857
2021-04-22,976,32,861275,17174,957.142857142857,24.7142857142857,11,2470,1643,1059266,5.14285714285714,1357.28571428571
2021-04-23,1297,33,862572,17207,974.428571428571,22.7142857142857,8,2478,1834,1061100,5.28571428571428,1384.28571428571
2021-04-24,1110,46,863682,17253,961.285714285714,24.4285714285714,10,2488,1513,1062613,6,1360.71428571428
2021-04-25,748,6,864430,17259,967.857142857143,25.2857142857142,1,2489,932,1063545,6,1355.28571428571
2021-04-26,653,33,865083,17292,958.571428571428,26.2857142857142,0,2489,822,1064367,6,1345
2021-04-27,823,5,865906,17297,939,25.1428571428571,15,2504,1298,1065665,7.42857142857143,1341.28571428571
2021-04-28,897,62,866803,17359,929.142857142857,31,10,2514,1381,1067046,7.85714285714285,1346.14285714285
2021-04-29,1052,51,867855,17410,940,33.7142857142857,11,2525,1470,1068516,7.85714285714285,1321.42857142857
2021-04-30,1054,22,868909,17432,905.285714285714,32.1428571428571,6,2531,1447,1069963,7.57142857142857,1266.14285714285
2021-05-01,983,19,869892,17451,887.142857142857,28.2857142857142,3,2534,1303,1071266,6.57142857142857,1236.14285714285
2021-05-02,660,0,870552,17451,874.571428571428,27.4285714285714,0,2534,1233,1072499,6.42857142857143,1279.14285714285
2021-05-03,574,15,871126,17466,863.285714285714,24.8571428571428,0,2534,845,1073344,6.42857142857143,1282.42857142857
2021-05-04,725,13,871851,17479,849.285714285714,26,6,2540,1164,1074508,5.14285714285714,1263.28571428571
2021-05-05,718,21,872569,17500,823.714285714285,20.1428571428571,10,2550,1076,1075584,5.14285714285714,1219.71428571428
