date,doses
2021-03-16,1048574
2021-03-17,1050574
2021-03-18,1082385
2021-03-19,1084493
2021-03-20,1138530
2021-03-21,1155439
2021-03-22,1171886
2021-03-23,1172125
2021-03-24,1191691
2021-03-25,1208667
2021-03-26,1229095
2021-03-27,1250189
2021-03-28,1267677
2021-03-29,1275068
2021-03-30,1280161
2021-03-31,1301323
2021-04-01,1327557
2021-04-02,1359623
2021-04-03,1392057
2021-04-04,1393877
2021-04-05,1415768
2021-04-06,1421747
2021-04-07,1494480
2021-04-08,1536865
2021-04-09,1587661
2021-04-10,1591591
2021-04-11,1594354
2021-04-12,1595403
2021-04-13,1737965
2021-04-14,1782385
2021-04-15,1835536
2021-04-16,1899992
2021-04-17,1964775
2021-04-18,2025794
2021-04-19,2074187
2021-04-20,2101212
2021-04-21,2146103
2021-04-22,2202939
2021-04-23,2263940
2021-04-24,2328997
2021-04-25,2331518
2021-04-26,2388290
2021-04-27,2421923
2021-04-28,2470926
2021-04-29,2527545
2021-04-30,2591190
2021-05-01,2649030
2021-05-02,2699753
2021-05-03,2700803
2021-05-04,2730134
2021-05-05,2761702
2021-05-06,2763645
2021-05-07,2850374
2021-05-08,2890358
2021-05-09,2929987
2021-05-10,2956409
2021-05-11,2977408
2021-05-12,3003804
2021-05-13,3037554
2021-05-14,3064613
2021-05-15,3095445
2021-05-16,3096482
2021-05-17,3133196
2021-05-18,3133560
2021-05-19,3134850
2021-05-20,3183565
2021-05-21,3208104
2021-05-22,3236398
2021-05-23,3257623
2021-05-24,3257973
2021-05-25,3258138
2021-05-26,3277423
2021-05-27,3295633
2021-05-28,3296656
2021-05-29,3298581
2021-05-30,3299623
2021-06-01,3407704
2021-06-02,3407890
2021-06-03,3409346
2021-06-04,3512913
2021-06-05,3514143
2021-06-06,3546734
2021-06-07,3547535
2021-06-08,3587882
2021-06-09,3589555
2021-06-10,3590749
2021-06-11,3590930
2021-06-12,3592184
2021-06-13,3593625
2021-06-14,3595582
2021-06-15,3596274
2021-06-16,3596897
2021-06-17,3692677
2021-06-18,3693780
2021-06-19,3694880
2021-06-20,3696165
2021-06-21,3696341
2021-06-22,3760962
2021-06-23,3761490
2021-06-24,3762566
2021-06-25,3763180
2021-06-26,3763848
2021-06-27,3764366
2021-06-28,3765250
2021-06-29,3877365
2021-06-30,3884556
2021-07-01,3893218
2021-07-02,3894171
2021-07-03,3910314
2021-07-04,3910698
2021-07-06,3926832
2021-07-07,3932968
2021-07-08,3941470
2021-07-09,3942002
2021-07-10,3942675
2021-07-11,3943546
2021-07-12,3969801
2021-07-13,3969934
2021-07-14,3979871
2021-07-15,3980303
2021-07-16,3980991
2021-07-17,3981538
2021-07-18,3982004
2021-07-19,4027078
2021-07-20,4025666
2021-07-21,4037136
2021-07-22,4037519
2021-07-23,4037959
2021-07-24,4038452
2021-07-25,4038918
2021-07-26,4039038
2021-07-27,4039150
2021-07-28,4084995
2021-07-29,4093544
2021-07-30,4103919
2021-07-31,4104779
2021-08-01,4105276
2021-08-02,4105466
2021-08-03,4105643
2021-08-04,4106222
2021-08-05,4145869
2021-08-06,4146314
2021-08-07,4146938
2021-08-08,4147336
2021-08-09,4147538
2021-08-10,4175678
2021-08-11,4182784
2021-08-12,4183379
2021-08-13,4184099
2021-08-14,4184634
2021-08-15,4185186
2021-08-16,4219348
2021-08-17,4218980
2021-08-18,4219519
2021-08-19,4262186
2021-08-20,4263108
2021-08-21,4291731
2021-08-22,4292670
2021-08-23,4293117
2021-08-24,4293478
2021-08-25,4342054
2021-08-26,4342677
2021-08-27,4343902
2021-08-28,4375024
2021-08-29,4375765
2021-08-30,4376166
2021-08-31,4376696
2021-09-01,4444517
2021-09-02,4445340
2021-09-03,4467825
2021-09-04,4468684
2021-09-07,4469605
2021-09-08,4539735
2021-09-09,4540409
2021-09-10,4541542
2021-09-11,4542440
2021-09-12,4543373
2021-09-13,4543909
2021-09-14,4544963
2021-09-15,4622000
2021-09-16,4622898
2021-09-17,4657281
2021-09-18,4677961
2021-09-19,4678648
2021-09-20,4679131
2021-09-21,4679672
2021-09-22,4718249
2021-09-23,4737079
2021-09-24,4765575
2021-09-25,4784239
2021-09-26,4785389
2021-09-27,4785671
2021-09-28,4785984
2021-09-29,4813611
2021-09-30,4823331
2021-10-01,4824114
2021-10-02,4853758
2021-10-03,4854200
2021-10-04,4854729
2021-10-05,4855141
2021-10-06,4901224
2021-10-07,4901526
2021-10-08,4902669
2021-10-09,4932664
2021-10-12,4933324
2021-10-13,4958654
2021-10-14,4973251
2021-10-15,4990632
2021-10-16,5002976
2021-10-17,5003830
2021-10-18,5004179
2021-10-19,5005519
2021-10-20,5006139
2021-10-21,5006654
2021-10-22,5050565
2021-10-23,5051114
2021-10-24,5051673
2021-10-25,5051789
2021-10-26,5082925
2021-10-27,5091396
2021-10-28,5091916
2021-10-29,5092396
2021-10-30,5115884
2021-10-31,5116398
2021-11-01,5116762
2021-11-02,5117009
2021-11-03,5141539
2021-11-04,5148931
2021-11-05,5149397
2021-11-06,5160906
2021-11-07,5161287
2021-11-08,5162771
2021-11-09,5178787
2021-11-10,5179488
2021-12-03,5289598
2021-12-04,5241103
2021-12-05,5241622
2021-12-06,5241795
2021-12-07,5266415
2021-12-08,5275127
2021-12-09,5284283
2021-12-10,5293008
2021-12-11,5302666
2021-12-12,5302875
2021-12-13,5303027
2021-12-14,5319077
2021-12-15,5329048
2021-12-16,5337707
2021-12-17,5346143
2021-12-18,5353525
2021-12-19,5353688
2021-12-20,5353843
2021-12-21,5367638
2021-12-22,5376936
2021-12-23,5377295
2021-12-27,5377928
2021-12-28,5402633
2021-12-29,5416054
2021-12-30,5423280
